name,url,p1,p2,p3,p4
acpcp.1979.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1979.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1980.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1980.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1981.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1981.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1982.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1982.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1983.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1983.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1984.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1984.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1985.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1985.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1986.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1986.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1987.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1987.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1988.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1988.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1989.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1989.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1990.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1990.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1991.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1991.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1992.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1992.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1993.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1993.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1994.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1994.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1995.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1995.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1996.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1996.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1997.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1997.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1998.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1998.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.1999.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.1999.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2000.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2000.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2001.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2001.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2002.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2002.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2003.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2003.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2004.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2004.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2005.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2005.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2006.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2006.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2007.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2007.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2008.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2008.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
