web-scraper-order,web-scraper-start-url,size
"1728486848-1","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","718.8 Mbytes"
"1728486848-2","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","650.3 Mbytes"
"1728486848-3","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","713.3 Mbytes"
"1728486848-4","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","678.9 Mbytes"
"1728486848-5","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","686.4 Mbytes"
"1728486848-6","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","657.9 Mbytes"
"1728486848-7","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","676.3 Mbytes"
"1728486848-8","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","678.5 Mbytes"
"1728486848-9","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","665.4 Mbytes"
"1728486848-10","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","697.3 Mbytes"
"1728486848-11","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","687.4 Mbytes"
"1728486848-12","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","714.2 Mbytes"
"1728486848-13","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","717.7 Mbytes"
"1728486848-14","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","667.5 Mbytes"
"1728486848-15","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","708.7 Mbytes"
"1728486848-16","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","680.1 Mbytes"
"1728486848-17","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","689.2 Mbytes"
"1728486848-18","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","660.6 Mbytes"
"1728486848-19","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","674.3 Mbytes"
"1728486848-20","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","676.2 Mbytes"
"1728486848-21","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","662.4 Mbytes"
"1728486848-22","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","698.6 Mbytes"
"1728486848-23","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","686.5 Mbytes"
"1728486848-24","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","716.4 Mbytes"
"1728486848-25","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","720.4 Mbytes"
"1728486848-26","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","644.5 Mbytes"
"1728486848-27","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","708.9 Mbytes"
"1728486848-28","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","680.0 Mbytes"
"1728486848-29","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","687.0 Mbytes"
"1728486848-30","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","660.7 Mbytes"
"1728486848-31","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","676.5 Mbytes"
"1728486848-32","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","682.5 Mbytes"
"1728486848-33","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","662.5 Mbytes"
